"","gt0","meanrow"
"(Intercept)",1000,2.02154413540359
"age",-834,-0.216081722752394
"income disclosure",-672,-0.0912573946067532
"need for cognition",661,0.125776276608094
"writing skills",566,0.117651565736368
"presentation skills",555,0.112744963060578
"pol. efficacy",-516,-0.186537560048343
"pol. online action",695,0.151909533534229
"religious membership",-556,-0.115904469263525
"SM Whatsapp",547,0.0808039480997472
"SM variety",874,0.291823158055545
"web activity",611,0.180516864052796
"web engagement",545,0.183100367897015
