"","gt0","meanrow"
"(Intercept)",-1000,-2.52440354795648
"gender",339,0.0293158186239972
"age",-999,-0.497527561907762
"education",856,0.121615850439664
"degree",406,0.03446365264804
"children",-671,-0.0685970165198693
"income",27,0.00321155191401551
"income sufficiency",454,0.0445917444824014
"income disclosure",-791,-0.103295451863019
"employment",-519,-0.0493742372656313
"leisure hours",79,0.00377992197681292
"leisure rating",291,0.0225756626322014
"social security",195,0.0114944266507645
"social class",-301,-0.029229282938367
"need for cognition",128,0.00723498223259902
"new media literacy",690,0.0776651303567931
"residence urban",-117,-0.00632163895485788
"residence suburban",-181,-0.00946066337799671
"residence rural",562,0.0507081203546087
"east german",-258,-0.0203382813629517
"writing skills",483,0.0421475524753263
"presentation skills",175,0.0105839816971804
"organisation skills",-133,-0.00889126966208946
"meeting skills",-153,-0.013701348179497
"pol. leaning",-855,-0.0980913918063073
"pol. interest",-237,-0.0215297411668008
"pol. debate online ",-576,-0.0559302045000954
"pol. debate offline ",232,0.0196712966651754
"political knowledge",987,0.212732640976596
"politician knowledge",359,0.0254180691759797
"pol. efficacy",2,-0.000546534381611343
"news use online",117,0.00741456809848337
"pol. online action",122,0.00759708440105236
"pol. offline action",140,0.00817490717408889
"voted in election",665,0.0746644650830425
"religious membership",317,0.0206214317810066
"religiousness",-23,-0.00250138587528218
"union membership",175,0.0116905428723789
"SM Youtube",81,0.00331951144037279
"SM Whatsapp",70,0.00515039602649226
"SM Twitter",57,0.00167223345037341
"SM Telegram",672,0.0673977974328435
"SM Signal",448,0.0317913239018515
"SM Instagram",415,0.0341903394724862
"SM Facebook",-607,-0.0667366511300563
"SM variety",876,0.151979389443784
"web activity",186,0.0253925310567904
"web engagement",999,0.665655902981881
"active weeks",1000,0.516441418731184
